feature_name,feature_type,encoding_strategy
id,Identifier,No Encoding
restaurant_id,Identifier,No Encoding
rider_id,Identifier,No Encoding
drop_lat,GPS,No Encoding
drop_lon,GPS,No Encoding
order_size,Numerical,No Encoding
order_value,Numerical,No Encoding
timestamp,Datetime,No Encoding
promised_eta,Numerical,No Encoding
actual_delivery_time_min,Target,No Encoding
order_status,Categorical,OneHot Encoding
promo_code_used,Categorical,OneHot Encoding
id_restaurant,Identifier,No Encoding
name,Categorical,OneHot Encoding
lat,GPS,No Encoding
lon,GPS,No Encoding
cuisine,Categorical,OneHot Encoding
avg_rating,Numerical,No Encoding
prep_capacity,Numerical,No Encoding
manager_contact,Categorical,OneHot Encoding
id_rider,Identifier,No Encoding
lat_rider,GPS,No Encoding
lon_rider,GPS,No Encoding
vehicle_type,Categorical,OneHot Encoding
completed_orders,Numerical,No Encoding
shift_hours,Numerical,No Encoding
current_load,Numerical,No Encoding
rider_call_sign,Categorical,OneHot Encoding
